待ちぼうけ,まちぼうけ,
勝ち,かち,
決定する,けっていする,
出会う,であう,
苦しむ,くるしむ,
気付く,きづく,
見送る,みおくる,
時々,ときどき,
受付,うけつけ,
買い物,かいもの,
苦手,にがて,
酒好き,さけずき,
酒飲み,さけのみ,
鳴き声,なきごえ,
飲み物,のみもの,
聞こえる,きこえる,
心配事,しんぱいごと,
音読み,おんよみ,
想像する,そうぞうする,
映像,えいぞう,
画像,がぞう,
一億,いちおく,
一億円,いちおくえん,
億,おく,
問題,もんだい,
疑問,ぎもん,
器,うつわ,
器用,きよう,
楽器,がっき,
食器,しょっき,
力士,りきし,
宿題,しゅくだい,
新宿,しんじゅく,
事情,じじょう,
人情,にんじょう,
情け,なさけ,
感情,かんじょう,
予想,よそう,
回想,かいそう,
思想,しそう,
五感,ごかん,
同感,どうかん,
飲み会,のみかい,
運転手,うんてんしゅ,
落ち葉,おちば,
父親,ちちおや,
母親,ははおや,
三番目,さんばんめ,
見返る,みかえる,
話し方,はなしかた,
転ぶ,ころぶ,
集まる,あつまる,
落とす,おとす,
終わり,おわり,
終電,しゅうでん,
開く,あく,
起こる,おこる,
心配する,しんぱいする,
心配,しんぱい,
鳴る,なる,
歌う,うたう,
勝手,かって,
初めに,はじめに,
初めて,はじめて,
神風,かみかぜ,
手伝う,てつだう,
左利き,ひだりきき,
体育,たいいく,
右利き,みぎきき,
好む,このむ,
育てる,そだてる,
追い付く,おいつく,
戦う,たたかう,
追いかける,おいかける,
注文する,ちゅうもんする,
大好き,だいすき,
伝わる,つたわる,
放れる,はなれる,
待合室,まちあいしつ,
感じ,かんじ,
感じる,かんじる,
感動する,かんどうする,
感心,かんしん,
感想,かんそう,
感謝,かんしゃ,
整然,せいぜん,
入館料,にゅうかんりょう,
料金,りょうきん,
映る,うつる,
映画,えいが,
映画館,えいがかん,
暗い,くらい,
暗殺,あんさつ,
暗記,あんき,
〜様,さま,
様々,さまざま,
皆様,みなさま,
目標,もくひょう,
橋,はし,
殺す,ころす,
殺人,さつじん,
自殺,じさつ,
全然,ぜんぜん,
当然,とうぜん,
自然,しぜん,
情熱,じょうねつ,
熱,ねつ,
熱い,あつい,
熱心,ねっしん,
皆さん,みなさん,
福島,ふくしま,
緑,みどり,
緑色,みどりいろ,
練習,れんしゅう,
詩,し,
詩人,しじん,
詩歌,しいか,しか,
課長,かちょう,
謝る,あやまる,
賞金,しょうきん,
車輪,しゃりん,
輪,わ,
選ぶ,えらぶ,
選手,せんしゅ,
水銀,すいぎん,
銀,ぎん,
銀色,ぎんいろ,
銀行,ぎんこう,
鏡,かがみ,
〜放題,ほうだい,
話題,わだい,
お願いします,おねがいします,
心願,しんがん,
養う,やしなう,
養子,ようし,
旅館,りょかん,
本館,ほんかん,
駅,えき,
駅前,えきまえ,
駅員,えきいん,
駅長,えきちょう,
都合,つごう,
消しゴム,けしごむ,けしゴム,
悪気,わるぎ,
山登り,やまのぼり,
流行語,りゅうこうご,
流行歌,りゅうこうか,
例外,れいがい,
一例,いちれい,
例えば,たとえば,
例文,れいぶん,
悪例,あくれい,
協会,きょうかい,
協力,きょうりょく,
参る,まいる,
一周,いっしゅう,
周囲,しゅうい,
周年,しゅうねん,
囲む,かこむ,
雰囲気,ふんいき,
固い,かたい,
頑固,がんこ,
基本,きほん,
四季,しき,
完了,かんりょう,
完全,かんぜん,
完成,かんせい,
念願,ねんがん,
残念,ざんねん,
人性,じんせい,
女性,じょせい,
性病,せいびょう,
男性,だんせい,
技,わざ,
技能,ぎのう,
特技,とくぎ,
折る,おる,
折角,せっかく,
骨折,こっせつ,
失望,しつぼう,
望み,のぞみ,
望む,のぞむ,
願望,がんぼう,
取材,しゅざい,
木材,もくざい,
材料,ざいりょう,
材木,ざいもく,
束,たば,
約束,やくそく,
松,まつ,
松葉,まつば,
人格,じんかく,
合格する,ごうかくする,
性格,せいかく,
格好,かっこう,
骨格,こっかく,
残り,のこり,
残る,のこる,
残業,ざんぎょう,
求める,もとめる,
求人,きゅうじん,
料理,りょうり,
〜的,てき,
日本的,にほんてき,
目的,もくてき,
私鉄,してつ,
予約,よやく,
約,やく,
約束する,やくそくする,
才能,さいのう,
能力,のうりょく,
芸能界,げいのうかい,
芸人,げいにん,
芸者,げいしゃ,
芸術,げいじゅつ,
美術,びじゅつ,
骨,ほね,
仏,ほとけ,
仏教,ぶっきょう,
大仏,だいぶつ,
信じる,しんじる,
自信,じしん,
信号,しんごう,
信心,しんじん,
信用,しんよう,
不信,ふしん,
返信,へんしん,
勇気,ゆうき,
区,く,
区分,くぶん,
地区,ちく,
単に,たんに,
単語,たんご,
上司,じょうし,
坂,さか,
変,へん,
変人,へんじん,
変化,へんか,
変死,へんし,
大変,たいへん,
事変,じへん,
夫,おっと,
岩,いわ,
帰る,かえる,
建てる,たてる,
建築,けんちく,
式,しき,
春,はる,
春休み,はるやすみ,
昨今,さっこん,
昨日,きのう,さくじつ,
昼,ひる,
晩,ばん,
今晩は,こんばんは,
毎晩,まいばん,
晴れる,はれる,
