一,いち|ひと|かず|いつ|,One
捕,ほ|つか|とら|,Catch
鮮,せん|あざ|,Fresh
効,こう|き|,Effective
属,ぞく|,Belong
慣,かん|な|,Accustomed
豊,ほう|ゆた|,Plentiful
満,まん|み|,Full
肥,ひ|こ|こえ|,Obese
巻,かん|ま|,Scroll
捜,そう|さが|,Search
絞,こう|し|しぼ|,Strangle
輩,はい|,Comrade
隠,いん|かく|,Hide
掛,がい|か|,Hang
替,たい|か|,Replace|Exchange
居,きょ|い|,Alive
造,ぞう|つく|,Create
授,じゅ|さず|,Instruct
印,いん|しるし|,Seal|Mark
創,そう|,Create
復,ふく|,Restore
往,おう|,Depart
較,かく|こう|,Contrast|Compare
筆,ひつ|ふで|,Writing Brush
鉛,えん|なまり|,Lead
貯,ちょ|たくわ|,Savings
故,こ|ゆえ|,Circumstance|Reason
障,しょう|さわ|,Hinder
従,じゅう|したが|,Obey|Accompany|Follow
我,が|われ|,I|Me
激,げき|はげ|,Fierce|Violent
刺,し|さ|,Stab
励,れい|はげ|,Encourage
討,とう|,Chastise
郵,ゆう|,Mail
針,しん|はり|,Needle
徴,ちょう|,Indication|Sign
怪,かい|け|あや|,Suspicious
獣,じゅう|けもの|,Beast|Animal
突,とつ|つ|,Stab|Thrust
菓,か|,Cake
河,か|かわ|こう|こお|,River
振,しん|ふ|,Shake|Wave
汗,かん|あせ|,Sweat
豚,とん|ぶた|,Pork|Pig
再,さ|さい|ふたた|,Again
接,せつ|つ|,Adjoin
独,どく|ひと|,Alone
占,せん|うらな|し|,Fortune|Occupy
招,しょう|まね|,Beckon
段,だん|,Steps|Stairs
胃,い|,Stomach
腹,ふく|はら|なか|,Belly|Abdomen|Stomach
痛,つう|いた|,Pain
退,たい|しりぞ|ひ|ど|の|,Retreat|Reject
屈,くつ|かが|,Yield
悩,のう|なや|,Worry
暇,か|ひま|いとま|,Spare Time|Free Time
織,しき|しょく|お|,Weave
貸,たい|か|,Lend
迷,めい|まよ|,Astray|Lost
惑,わく|まど|,Misguided
誘,ゆう|さそ|,Invite
就,しゅう|つ|,Settle In
訪,ほう|たず|おとず|,Visit
怒,ど|おこ|いか|,Angry|Anger
昇,しょう|のぼ|,Ascend
眠,みん|ねむ|,Sleep
睡,すい|,Drowsy
症,しょう|,Symptom
締,てい|し|,Tighten
迫,はく|せま|,Urge|Compel|Coerce
靴,か|くつ|,Shoes
濃,のう|こ|,Thick
端,たん|はし|はた|,Edge
極,きょく|ごく|きわ|,Extreme
途,と|,Route
健,けん|,Healthy
康,こう|,Ease|Peace
郎,ろう|,Guy
給,きゅう|たま|,Salary
逆,ぎゃく|さか|,Reverse|Opposite
巨,きょ|,Giant
庫,こ|くら|,Storage|Warehouse
児,じ|こ|,Child
冷,れい|つめ|ひ|さ|,Cool|Cold
凍,とう|こお|こご|,Frozen
幼,よう|おさな|,Infancy|Childhood
稚,ち|,Immature
処,しょ|ところ|,Deal With
博,はく|ばく|,Exhibition|Gambling
清,せい|しょう|しん|きよ|し|,Pure
潔,けつ|いさぎよ|,Pure
録,ろく|,Record
隊,たい|,Squad
修,しゅう|おさ|,Discipline
券,けん|,Ticket
婦,ふ|,Wife
奇,き|,Odd|Strange
妙,みょう|たえ|,Strange
麗,れい|うるわ|,Lovely
微,び|かす|,Delicate
益,えき|,Benefit
移,い|うつ|,Shift
程,てい|ほど|,Extent
精,せい|,Spirit
絶,ぜつ|た|,Extinction|Die Out
並,へい|なら|なみ|,Line Up
憲,けん|,Constitution
衆,しゅう|,Populace
傘,さん|かさ|,Umbrella
浜,ひん|はま|,Beach
撃,げき|う|,Attack
攻,こう|せ|,Aggression
監,かん|,Oversee
杯,はい|,Cup Of Liquid|Counter For Cups
乾,かん|かわ|ほ|,Dry
催,さい|もよお|,Sponsor
促,そく|うなが|,Urge
欧,おう|,Europe
江,こう|え|,Inlet|Bay
請,せい|しん|しょう|う|こ|,Request
雄,ゆう|おす|,Male|Brave
韓,かん|,Korea
壊,かい|こわ|,Break
診,しん|み|,Diagnose
閣,かく|,The Cabinet|Cabinet
僚,りょう|,Colleague
積,せき|つ|,Accumulate
督,とく|,Coach
臣,しん|じん|,Servant|Retainer
略,りゃく|,Abbreviation|Abbreviate
航,こう|わたる|,Navigation
寄,き|よ|,Approach
板,はん|いた|,Board
街,がい|かい|まち|,Street
宗,しゅう|,Religion
緊,きん|,Tense
娘,むすめ|,Daughter
宴,えん|うたげ|,Banquet
怖,ふ|こわ|,Scary
恐,きょう|おそ|こわ|,Fear
添,てん|そ|,Append
猛,もう|,Fierce
烈,れつ|はげ|,Violent|Intense
索,さく|,Search
詰,きつ|きち|つ|づ|,Stuffed
詳,しょう|くわ|,Detailed
魅,み|,Alluring
渇,かつ|かわ|,Thirst
系,けい|,Lineage
婚,こん|,Marriage
遊,ゆう|あそ|,Play
旗,き|はた|,Flag
照,しょう|て|,Illuminate
快,かい|こころよ|,Pleasant
版,はん|,Edition
貧,びん|ひん|まず|,Poor
乏,ぼう|とぼ|,Scarce
適,てき|,Suitable
預,よ|あず|,Deposit
延,えん|のば|の|,Prolong
翌,よく|,The Following|Following|Next
覧,らん|,Look At
懐,かい|なつ|,Nostalgia
押,おう|お|,Push
更,こう|さら|ふ|,Again|Renew
枕,しん|まくら|,Pillow
浮,ふ|う|うわ|,Float
漏,ろう|も|,Leak
符,ふ|,Token
購,こう|,Subscription
越,えつ|こ|,Go Beyond
飾,しょく|かざ|,Decorate
騒,そう|さわ|,Boisterous
背,はい|せ|そむ|,Back|Height
撮,さつ|と|,Photograph|Photo
盗,とう|ぬす|,Steal
離,り|はな|,Detach
融,ゆう|,Dissolve
編,へん|あ|,Knit
華,か|はな|,Showy|Flower|Gorgeous
既,き|すで|,Previously
普,ふ|,Normal
豪,ごう|,Luxurious
鑑,かん|,Model
除,じょ|じ|のぞ|,Exclude|Remove
尋,じん|たず|ひろ|,Inquire
幾,き|いく|,How Many|How Much
廊,ろう|,Corridor
掃,そう|は|,Sweep
泥,でい|どろ|,Mud
棒,ぼう|,Pole|Rod|Wooden Pole
驚,きょう|おどろ|,Surprised
嘆,たん|なげ|,Sigh
倉,そう|くら|,Warehouse
孫,そん|まご|,Grandchild
巣,そう|す|,Nest
帯,たい|おび|,Belt
径,けい|,Diameter
救,きゅう|すく|,Rescue
散,さん|ち|,Scatter
粉,ふん|こな|こ|,Powder
脈,みゃく|,Vein
菜,さい|な|,Vegetable
貨,か|,Freight
陸,りく|,Land
似,ね|じ|に|,Resemble
均,きん|ひと|,Equal
墓,ぼ|はか|,Grave
富,ふ|と|とみ|,Rich
徳,とく|,Virtue
探,たん|さが|さぐ|,Look For|Search For
偵,てい|,Spy
綺,き|,Beautiful
序,じょ|つい|ついで|,Preface
迎,げい|むか|,Welcome
志,し|こころざし|,Intention
恩,おん|,Kindness
採,さい|と|,Gather
桜,おう|よう|さくら|,Sakura|Cherry Tree|Cherry Blossom
永,えい|,Eternity
液,えき|,Fluid|Liquid
眼,がん|め|,Eyeball
祖,そ|,Ancestor
績,せき|,Exploits
興,きょう|こう|,Interest
衛,えい|,Defense
複,ふく|,Duplicate
雑,ざつ|ぞう|,Random|Miscellaneous
賛,さん|,Agree
酸,さん|す|,Acid
銭,せん|ぜに|,Coin
飼,し|か|,Domesticate
傷,しょう|きず|いた|,Wound
党,とう|,Party|Group
卵,らん|たまご|,Egg
厳,げん|ごん|きび|おごそ|,Strict
捨,しゃ|す|,Throw Away
込,こ|,Crowded
密,みつ|ひそ|,Secrecy
汚,お|よご|きたな|けが|,Dirty
欲,よく|ほ|,Want
暖,だん|あたた|,Warm
机,き|つくえ|,Desk
秘,ひ|ひ|,Secret
訳,やく|わけ|,Translation|Reason
染,せん|しみ|そ|し|,Dye
簡,かん|,Simplicity
閉,へい|し|と|,Closed|Close|Closure
誌,し|,Magazine
窓,そう|まど|,Window
否,ひ|いな|いや|,No
筋,きん|すじ|,Muscle|Tendon
垂,すい|た|,Dangle|Drip
宝,ほう|たから|,Treasure
宣,せん|のたま|,Proclaim
尊,そん|とうと|たっと|,Revered
忠,ちゅう|,Loyalty
拡,かく|ひろ|,Extend
操,そう|あやつ|みさお|,Manipulate|Chastity
敬,けい|うやま|,Respect
暮,ぼ|く|,Livelihood
灰,かい|はい|,Ashes
熟,じゅく|う|,Ripen
異,い|こと|,Differ
皇,こう|,Emperor
盛,せい|じょう|も|さか|,Pile|Prosperous|Heap
砂,さ|すな|,Sand
漠,ばく|,Desert|Vague
糖,とう|,Sugar
納,のう|おさ|なっ|,Supply
肺,はい|,Lung
著,ちょ|いちじる|あらわ|,Author
蒸,じょう|む|,Steam
蔵,ぞう|くら|,Storehouse
装,そう|しょう|よそお|,Attire
裏,り|うら|,Backside|Underside|Reverse
諸,しょ|もろ|,Various
賃,ちん|,Rent
誤,ご|あやま|,Mistake
臓,ぞう|,Internal Organs
貴,き|とうと|,Valuable
降,こう|お|ふ|,Descend
丼,どん|どんぶり|,Rice Bowl
吐,と|は|つ|,Throw Up|Spit|Vomit
奴,ど|やつ|,Dude
隷,れい|,Slave
芋,いも|,Potato
縮,しゅく|ちぢ|ちじ|,Shrink
純,じゅん|,Pure
縦,じゅう|たて|,Vertical
粋,すい|いき|,Stylish
聖,せい|,Holy
磁,じ|,Magnet
紅,こう|べに|くれない|,Deep Red|Crimson
射,しゃ|い|さ|う|,Shoot
幕,まく|ばく|とばり|,Curtain
拝,はい|おが|,Worship
薦,せん|すす|,Recommend
推,すい|お|,Infer
揮,き|,Brandish
沿,えん|そ|,Run Alongside
源,げん|みなもと|,Origin
劇,げき|,Drama
勤,きん|つと|,Work
歓,かん|,Delight
承,しょう|うけたまわ|,Consent
損,そん|そこ|,Loss
枝,し|えだ|,Branch
爪,そう|つま|つめ|,Claw
豆,とう|まめ|,Beans
刻,こく|きざ|,Carve
腐,ふ|くさ|,Rot
遅,ち|おそ|おく|,Slow
彫,ちょう|ほ|,Carve
測,そく|はか|,Measure
破,は|やぶ|,Tear
舎,しゃ|,Cottage
講,こう|,Lecture
滞,たい|とどこお|,Stagnate
紹,しょう|,Introduce
介,かい|すけ|,Jammed In
己,こ|き|おのれ|,Oneself
厄,やく|,Unlucky
亀,き|かめ|,Turtle
互,ご|たが|,Mutual
剣,けん|つるぎ|,Sword
寿,じゅ|す|ことぶき|,Lifespan|Longevity
彼,ひ|かれ|かの|,He
恥,ち|は|はじ|,Shame
杉,すぎ|,Cedar
汁,じゅう|しる|,Soup
噌,そ|,Boisterous
炎,えん|ほのお|,Flame|Blaze
為,い|ため|な|す|,Sake
熊,くま|,Bear
獄,ごく|,Prison
酔,すい|よ|,Drunk
酢,さく|す|,Vinegar
鍋,か|なべ|,Pot
湖,こ|みずうみ|,Lake
銅,どう|あかがね|,Copper
払,ふつ|はら|,Pay
油,ゆ|あぶら|,Oil
醤,しょう|,Soy Sauce
旧,きゅう|,Former
姓,せい|しょう|,Surname|Family Name
貿,ぼう|,Trade
将,しょう|,Commander
盟,めい|,Alliance
遺,い|のこ|,Leave Behind
伸,しん|の|,Stretch
債,さい|,Debt
及,きゅう|およ|,Reach
奈,な|,Nara
幅,ふく|はば|,Width
廃,はい|すた|,Obsolete
甘,かん|あま|,Sweet
換,かん|か|,Exchange
摘,てき|つ|,Pluck
核,かく|,Nucleus
沖,ちゅう|おき|,Open Sea
縄,じょう|なわ|,Rope
津,しん|つ|,Haven
献,けん|こん|たてまつ|,Offer
療,りょう|,Heal
継,けい|つ|,Inherit
維,い|,Maintain
舞,ぶ|まい|ま|,Dance
伎,き|わざ|,Deed
踏,とう|ふ|,Step
般,はん|,Generally|General
頼,らい|たの|たよ|,Trust
依,い|よ|,Reliant|Dependent
鹿,ろく|か|しか|,Deer
諾,だく|,Agreement
牙,げ|きば|が|,Fang|Tusk
跳,ちょう|と|は|,Hop
昭,しょう|,Shining
漁,ぎょ|りょう|あさ|,Fishing
償,しょう|つぐな|,Reparation
刑,けい|,Punish
募,ぼ|つの|,Recruit
執,しゅう|しつ|と|,Tenacious
塁,るい|,Base|Baseball Base
崩,ほう|くず|,Crumble
患,かん|わずら|,Afflicted
戻,れい|もど|,Return
抗,こう|あらが|,Confront
抵,てい|,Resist
旬,しゅん|じゅん|,In Season|Time Of Month|Season
湾,わん|,Gulf
爆,ばく|は|,Explode
弾,だん|ひ|はず|たま|,Bullet
聴,ちょう|き|,Listen
跡,せき|あと|,Traces
遣,けん|つか|や|,Dispatch
闘,とう|たたか|,Struggle
陣,じん|,Army Base
香,こう|きょう|かお|か|,Fragrance
兆,ちょう|きざ|,Omen
臨,りん|のぞ|,Look To
削,さく|けず|,Whittle Down
契,けい|,Pledge
恵,え|けい|めぐ|,Favor
抱,ほう|だ|かか|いだ|,Hug
掲,けい|かか|,Display
狙,そ|ねら|,Aim
葬,そう|ほうむ|,Burial
需,じゅ|,Demand
齢,れい|よわい|,Age
宜,ぎ|よろ|,Best Regards
繰,そう|く|,Spin
避,ひ|さ|よ|,Dodge|Avoid
妊,にん|,Pregnant
娠,しん|,Pregnant
致,ち|いた|,Do
刊,かん|,Edition
奏,そう|かな|,Play Music
伴,はん|ともな|,Accompany
併,へい|あわ|,Join
傾,けい|かたむ|,Lean
却,きゃく|かえって|,Contrary
奥,おう|おく|,Interior
慮,りょ|おもんぱく|おもんぱか|,Consider
懸,けん|か|,Suspend
房,ぼう|ふさ|,Cluster
扱,きゅう|あつか|,Handle
抑,よく|おさ|,Suppress
択,たく|えら|,Select
描,びょう|か|えが|,Draw
盤,ばん|,Tray|Platter|Board
称,しょう|とな|たた|ほめ|,Title
緒,しょ|お|,Together
緩,かん|ゆる|,Loose
託,たく|かこ|,Consign
賄,わい|まかな|,Bribe
賂,ろ|,Bribe
贈,ぞう|おく|,Presents
逃,とう|に|のが|の|,Escape
還,かん|かえ|,Send Back
超,ちょう|こ|,Ultra|Super
邦,ほう|くに|,Home Country
鈴,りん|すず|,Buzzer|Small Bell
阜,ふ|,Mound
岐,き|ぎ|,Branch Off
隆,りゅう|,Prosperity
雇,こ|やと|,Employ
控,こう|ひか|,Abstain
壁,へき|かべ|,Wall
棋,き|ご|,Chess Piece
渋,じゅう|しぶ|,Bitter|Astringent|Reluctant
片,へん|かた|,One Sided
群,ぐん|む|むら|,Flock
仙,せん|,Hermit
充,じゅう|あ|み|,Allocate
免,めん|まぬか|,Excuse
勧,かん|すす|,Recommend
圏,けん|,Range|Sphere
埋,まい|う|,Bury
埼,き|さい|,Cape
奪,だつ|うば|,Rob
御,ご|お|,Honorable
慎,しん|つつし|,Humility
拒,きょ|こば|,Refuse|Refusal
枠,わく|,Frame
甲,こう|かん|か|,Turtle Shell|A
斐,い|,Patterned
祉,し|,Welfare
稲,いね|いな|,Rice Plant
譲,じょう|ゆず|,Defer
謙,けん|,Modesty
躍,やく|おど|,Leap
銃,じゅう|,Gun
項,こう|,Paragraph
鋼,こう|はがね|,Steel
顧,こ|かえり|,Review
駐,ちゅう|,Resident
駆,く|か|,Gallop
柱,ちゅう|はしら|,Pillar
唱,しょう|とな|,Chant
孝,こう|,Filial Piety
俊,しゅん|,Genius
兼,けん|か|,Concurrently
剤,ざい|,Dose
吹,すい|ふ|,Blow
堀,くつ|ほり|,Ditch
巡,じゅん|めぐ|,Patrol
戒,かい|いまし|,Commandment
排,はい|,Reject|Refuse
携,けい|たずさ|,Portable
敏,びん|,Alert
鋭,えい|するど|,Sharp
敷,ふ|しき|し|,Spread
殿,でん|との|どの|,Milord|Lord
犠,ぎ|,Sacrifice
獲,かく|え|,Seize
茂,も|しげ|,Luxuriant
繁,はん|しげ|,Overgrown
頻,ひん|しき|,Frequent
殖,しょく|ふ|,Multiply
薄,はく|うす|,Dilute
衝,しょう|つ|,Collide
誉,よ|ほ|,Honor
褒,ほう|ほ|,Praise
透,とう|す|,Transparent
隣,りん|となり|,Neighbor|Neighbour
雅,が|みや|,Elegant
遜,そん|したが|,Humble
伺,し|うかが|,Pay Respects
徹,てつ|,Penetrate|Clear
瀬,らい|せ|,Rapids|Shallows
撤,てつ|,Withdrawal
措,そ|,Set Aside
拠,きょ|よ|,Based On
儀,ぎ|,Ceremony
樹,じゅ|き|いつき|,Wood
棄,き|,Abandon
虎,こ|とら|,Tiger
蛍,けい|ほたる|,Firefly
蜂,ほう|はち|,Bee
酎,ちゅう|ちゅ|かも|,Sake
蜜,みつ|,Honey
墟,きょ|,Ruins
艦,かん|,Warship
潜,せん|くぐ|ひそ|もぐ|,Conceal
拳,けん|げん|こぶし|,Fist
炭,たん|すみ|,Charcoal
畑,はたけ|はた|,Field
包,ほう|つつ|くる|,Wrap
衣,い|え|ころも|きぬ|,Clothes
仁,じん|,Humanity
鉱,こう|あらがね|,Mineral
至,し|いた|,Attain
誠,せい|まこと|,Sincerity
郷,きょう|,Hometown
侵,しん|おか|,Invade
偽,ぎ|にせ|いつわ|,Fake
克,こく|,Overcome
到,とう|,Arrival
双,そう|ふた|,Pair
哲,てつ|,Philosophy
喪,そう|も|,Mourning
堅,けん|かた|,Solid
床,しょう|ゆか|とこ|,Floor|Bed
括,かつ|くく|,Fasten
弧,こ|,Arc
挑,ちょう|いど|,Challenge
掘,くつ|ほ|,Dig
揚,よう|あ|,Hoist
握,あく|にぎ|,Grip
揺,よう|ゆ|,Shake
斎,さい|いつ|,Purification
暫,ざん|しばら|,Temporarily
析,せき|,Analysis
枢,すう|からくり|,Hinge
軸,じく|,Axis
柄,へい|がら|,Pattern
泊,はく|と|,Overnight
滑,かつ|すべ|なめ|,Slippery
潟,せき|かた|,Lagoon
焦,しょう|こ|あせ|,Char
範,はん|,Example
紛,ふん|まぎ|まぐ|,Distract
糾,きゅう|,Twist
綱,こう|つな|,Cable
網,もう|あみ|,Netting
肝,かん|きも|,Liver
芝,し|しば|,Lawn
荒,こう|あ|あら|,Wild
袋,たい|ふくろ|,Sack
誰,だれ|,Who
珍,ちん|めずら|,Rare
裂,れつ|さ|,Split|Tear
襲,しゅう|おそ|,Attack
貢,こう|みつ|,Tribute
趣,しゅ|おもむき|,Gist
距,きょ|,Distance
籍,せき|,Enroll
露,ろ|ろう|つゆ|,Expose|Dew
牧,ぼく|まき|,Pasture
刷,さつ|す|,Printing
朗,ろう|ほが|,Bright
潮,ちょう|しお|,Tide
即,そく|すなわ|,Instant
垣,かき|,Hedge|Fence
威,い|,Majesty
封,ふう|ほう|,Seal|Seal In|Closing
筒,とう|つつ|,Cylinder
岳,がく|たけ|,Peak
慰,い|なぐさ|,Consolation
懇,こん|,Courteous
懲,ちょう|こ|,Chastise
摩,ま|さす|,Chafe
擦,さつ|こす|す|,Grate
撲,ぼく|,Slap
斉,せい|さい|,Simultaneous
旨,し|うま|むね|,Point|Delicious
柔,じゅう|にゅう|やわ|,Gentle
沈,ちん|しず|,Sink
沼,しょう|ぬま|,Bog
泰,たい|,Peace
滅,めつ|ほろ|,Destroy
滋,じ|,Nourishing
炉,ろ|いろり|,Furnace
琴,こと|,Harp
寸,すん|,Measurement
竜,りゅう|たつ|,Dragon
縁,えん|ねん|ふち|,Edge
翼,よく|つばさ|,Wing
吉,きつ|きち|よし|,Good Luck
刃,じん|にん|は|,Blade
忍,にん|しの|,Endure
桃,とう|もも|,Peach
辛,しん|から|つら|,Spicy
謎,なぞ|,Riddle
侍,さむらい|,Samurai
俺,おれ|,I|Me
叱,しか|,Scold
娯,ご|,Recreation
斗,と|,Ladle
朱,しゅ|あけ|,Vermillion
丘,きゅう|おか|,Hill
梨,なし|,Pear
僕,ぼく|,I|Me
匹,ひき|,Small Animal|Small Animal Counter
叫,きょう|さけ|,Shout
釣,ちょう|つ|,Fishing
髪,はつ|かみ|,Hair
嵐,あらし|,Storm
笠,かさ|,Conical Hat
涙,るい|なみだ|,Teardrop
缶,かん|,Can|Tin Can
姫,ひめ|,Princess
棚,ほう|たな|,Shelf
粒,りゅう|つぶ|,Grains
砲,ほう|,Cannon
雷,らい|かみなり|,Thunder
芽,が|め|,Sprout
塔,とう|,Tower
澄,ちょう|す|,Lucidity
矛,む|ほこ|,Spear
肌,き|はだ|,Skin
舟,しゅう|ふね|ふな|,Boat
鐘,しょう|かね|,Bell
凶,きょう|,Villain
塊,かい|かたまり|,Lump
狩,しゅ|か|,Hunt
頃,ころ|ごろ|,Approximate
魂,こん|たましい|,Soul|Spirit
脚,きゃく|あし|,Leg
也,や|なり|,Considerably
井,しょう|い|,Well
呪,じゅ|のろ|,Curse
嬢,じょう|むすめ|,Miss
暦,れき|こよみ|,Calendar
曇,くも|,Cloudy
眺,ちょう|なが|,Stare
裸,ら|はだか|,Naked|Nude
賭,か|,Gamble
疲,ひ|つか|,Exhausted
塾,じゅく|,Cram School
卓,たく|,Table
磨,ま|みが|,Polish
菌,きん|,Bacteria
陰,いん|かげ|,Shade
霊,れい|りょう|,Ghost
湿,しつ|しめ|,Damp
硬,こう|かた|,Stiff
稼,か|かせ|,Earnings
嫁,か|よめ|とつ|,Bride
溝,こう|みぞ|,Gutter
滝,たき|,Waterfall
狂,きょう|くる|,Lunatic|Crazy
翔,しょう|かけ|と|,Fly
墨,すみ|,Black Ink|Ink
鳩,く|はと|,Dove|Pigeon
穏,おん|おだ|,Calm
鈍,どん|にぶ|のろ|,Dull
魔,ま|,Devil
寮,りょう|,Dormitory
盆,ぼん|,Lantern Festival
棟,とう|,Pillar
吾,ご|わが|,I|Me
斬,ざん|き|,Slice
寧,ねい|むし|,Rather
椅,い|,Chair
歳,さい|せい|,Years Old
涼,りょう|すず|,Cool
猿,えん|さる|,Monkey
瞳,とう|どう|ひとみ|,Pupil
鍵,けん|かぎ|,Key
零,れい|こぼ|,Zero|Spill
碁,ご|,Go
租,そ|,Tariff
幽,ゆう|,Secluded
泡,ほう|あわ|,Bubbles
癖,へき|くせ|,Habit
鍛,たん|きた|,Forge
錬,れん|ね|,Tempering
穂,すい|ほ|,Head of Plant|Ear Of Plant
帝,てい|みかど|,Sovereign
瞬,しゅん|またた|,Blink
菊,きく|,Chrysanthemum
誇,こ|ほこ|,Pride
庄,しょう|,Manor
阻,そ|はば|,Thwart
黙,もく|だま|,Shut Up
俵,ひょう|たわら|,Sack
綿,めん|わた|,Cotton
架,か|か|,Shelf
砕,さい|くだ|,Smash
粘,ねん|ねば|,Sticky
粧,しょう|,Cosmetics
欺,ぎ|あざむ|,Deceit
詐,さ|いつわ|,Lie
霧,む|きり|,Fog
柳,りゅう|やなぎ|,Willow
伊,い|だ|,Italy
佐,さ|,Help
尺,しゃく|,Shaku|Japanese Foot
哀,あい|あわ|,Pathetic
唇,しん|くちびる|,Lips
塀,へい|,Fence
墜,つい|,Crash
如,じょ|ごと|,Likeness
婆,ば|ばあ|,Old Woman
崖,がい|がけ|,Cliff
帽,ぼう|,Hat
幣,へい|,Cash
恨,こん|うら|,Grudge
憎,ぞう|にく|,Hate
憩,けい|いこ|,Rest
扇,せん|おうぎ|あお|,Folding Fan
扉,ひ|とびら|,Front Door
挿,そう|さ|,Insert
掌,しょう|てのひら|,Manipulate
滴,てき|したた|しずく|,Drip
炊,すい|た|,Cook
爽,そう|さわ|,Refreshing
畳,じょう|たたみ|,Tatami Mat
瞭,りょう|,Clear
箸,ちゃく|はし|,Chopsticks
胴,どう|,Torso
芯,しん|,Wick
虹,こう|にじ|,Rainbow
帳,ちょう|とばり|,Notebook
蚊,か|,Mosquito
蛇,じゃ|へび|,Snake
貼,ちょう|は|,Paste
辱,じょく|はずかし|,Humiliate
鉢,はち|,Bowl
闇,あん|おん|やみ|,Darkness
隙,げき|すき|,Crevice
霜,しも|,Frost
飢,き|う|,Starve
餓,が|う|,Starve
畜,ちく|,Livestock
迅,じん|,Swift
騎,き|,Horse
蓄,ちく|たくわ|,Amass
尽,じん|つ|,Exhaust
彩,さい|いろど|あや|,Coloring|Colouring
憶,おく|,Recollection
溶,よう|と|,Melt
耐,たい|た|,Resistant
踊,よう|おど|,Dance
賢,けん|かしこ|,Clever
輝,き|かがや|,Radiance
脅,きょう|おど|おびや|,Threaten
麻,ま|あさ|,Hemp
灯,とう|あかり|とも|,Lamp
咲,しょう|さ|,Blossom
培,ばい|つちか|,Cultivate
悔,かい|くや|く|,Regret
脇,きょう|わき|,Armpit
遂,すい|と|つい|,Accomplish
班,はん|,Squad
塗,と|ぬ|,Paint
斜,しゃ|なな|,Diagonal
殴,おう|なぐ|,Assault
盾,じゅん|たて|,Shield
穫,かく|,Harvest
巾,きん|,Towel
駒,く|こま|,Chess Piece
紫,し|むらさき|,Purple
抽,ちゅう|,Pluck
誓,せい|ちか|,Vow
悟,ご|さと|,Comprehension
拓,たく|,Cultivation
拘,こう|かか|,Arrest
礎,そ|いしずえ|,Foundation
鶴,かく|つる|,Crane
刈,か|,Prune
剛,ごう|,Sturdy
唯,ゆい|ただ|,Solely
壇,だん|,Podium
尼,に|あま|,Nun
概,がい|おおむ|,Approximation
浸,しん|ひた|,Immersed
淡,たん|あわ|,Faint
煮,しゃ|に|,Boil
覆,ふく|おお|くつがえ|,Capsize|Cover
謀,ぼう|はか|,Conspire
陶,とう|,Pottery
隔,かく|へだ|,Isolate
征,せい|,Subjugate
陛,へい|,Highness
俗,ぞく|,Vulgar
桑,そう|くわ|,Mulberry
潤,じゅん|うるお|うる|,Watered
珠,しゅ|たま|,Pearl
衰,すい|おとろ|,Decline
奨,しょう|,Encourage
劣,れつ|おと|,Inferiority
勘,かん|,Intuition
妃,ひ|,Princess|Queen
丈,じょう|たけ|,Height|Ten Feet
峰,ほう|みね|,Summit
巧,こう|うま|たく|,Adept
邪,じゃ|よこし|,Wicked
駄,だ|た|,Burdensome
唐,とう|,China|Sudden
廷,てい|,Courts
鬱,うつ|,Gloom
鰐,わに|,Alligator
蟹,かに|,Crab
簿,ぼ|,Record Book
彰,しょう|,Clear|Patent
漫,まん|,Manga
訂,てい|,Revise
諮,し|はか|,Consult
銘,めい|,Inscription
堰,せき|えん|,Dam
堤,てい|つつみ|,Embankment
漂,ひょう|ただよ|,Drift
翻,ほん|ひるがえ|,Flip
軌,き|,Rut
后,こう|ご|きさき|,Empress
奮,ふん|ふる|,Stirred Up
亭,てい|,Restaurant
仰,ぎょう|こう|あお|,Look Up To
伯,はく|お|,Chief
偶,ぐう|たま|,Accidentally
淀,よど|,Eddy
墳,ふん|,Tomb
壮,そう|,Robust
把,は|わ|,Bundle|Grasp
搬,はん|,Transport
晶,しょう|,Crystal
洞,どう|ほら|,Cave
涯,がい|はて|,Horizon
疫,えき|,Epidemic
孔,こう|あな|,Cavity|Hole
偉,い|えら|,Greatness
頂,ちょう|いただき|いただ|,Summit|Humbly
召,しょう|め|,Call|Eat
挟,きょう|しょう|はさ|,Between
枯,こ|か|,Wither
沸,ふつ|わ|,Boil
濯,たく|すす|ゆす|そそぐ|,Wash
燥,そう|はしゃ|,Dry Up
瓶,びん|かめ|,Bottle|Jar
耕,こう|たがや|,Plow
肯,こう|がえんじ|,Agreement|Consent
脂,し|あぶら|,Fat
膚,ふ|はだ|,Skin
軒,けん|のき|,House Counter|Eaves
軟,なん|やわ|,Soft
郊,こう|,Suburbs
隅,ぐう|すみ|,Corner
隻,せき|,Ship Counter
邸,てい|やしき|,Residence
郡,ぐん|こおり|,County|District
釈,しゃく|せき|す|とく|ゆる|,Explanation
肪,ぼう|,Obese|Fat
喚,かん|わめ|,Scream|Yell
媛,えん|ひめ|,Princess|Beautiful Woman
貞,てい|さだ|,Chastity
玄,げん|くろ|,Mysterious
苗,みょう|びょう|なえ|なわ|,Seedling|Sapling
渦,か|うず|,Whirlpool
慈,じ|いつく|,Mercy
襟,きん|えり|,Collar
蓮,れん|はす|はちす|,Lotus
亮,りょう|あきらか|,Clear
聡,そう|さと|みみざと|,Wise
浦,ほ|うら|,Bay
塚,ちょう|つか|,Mound
陥,かん|おちい|おとしい|,Cave In
